Country,fleet,subfleet,species,N,mean.q,sd,se,upper,lower
non-UK,Static,LL1,HAD,11,1.27E-09,1.39E-09,4.18E-10,2.09E-09,4.53E-10
non-UK,Static,LL1,HER,11,1.12E-14,3.73E-14,1.12E-14,3.33E-14,-1.08E-14
non-UK,Static,LL1,JAX,11,0,0,0,0,0
non-UK,Static,LL1,MAC,11,1.40E-09,1.14E-09,3.43E-10,2.07E-09,7.31E-10
non-UK,Static,LL1,PLE,11,5.06E-11,1.25E-10,3.76E-11,1.24E-10,-2.31E-11
non-UK,Static,LL1,POK,11,1.75E-10,1.10E-10,3.33E-11,2.40E-10,1.09E-10
non-UK,Static,LL1,SAN,11,3.97E-11,1.32E-10,3.97E-11,1.18E-10,-3.81E-11
non-UK,Static,LL1,SOL,11,5.21E-12,8.56E-12,2.58E-12,1.03E-11,1.55E-13
non-UK,Static,LL1,WHG,11,2.85E-13,5.04E-13,1.52E-13,5.83E-13,-1.30E-14
UK,Beam,BEAM,COD,11,2.43E-11,3.55E-11,1.07E-11,4.53E-11,3.35E-12
UK,Beam,BEAM,HAD,11,5.04E-13,1.28E-12,3.86E-13,1.26E-12,-2.53E-13
UK,Beam,BEAM,HER,11,1.29E-15,4.26E-15,1.29E-15,3.80E-15,-1.23E-15
UK,Beam,BEAM,MAC,11,2.70E-16,8.97E-16,2.70E-16,8.00E-16,-2.60E-16
UK,Beam,BEAM,PLE,11,2.78E-10,3.89E-10,1.17E-10,5.08E-10,4.85E-11
UK,Beam,BEAM,POK,11,5.29E-14,1.75E-13,5.29E-14,1.57E-13,-5.08E-14
UK,Beam,BEAM,SOL,11,8.17E-10,2.48E-09,7.47E-10,2.28E-09,-6.48E-10
UK,Beam,BEAM,SPR,11,3.36E-12,1.08E-11,3.26E-12,9.74E-12,-3.03E-12
UK,Beam,BEAM,WHG,11,5.39E-12,1.55E-11,4.68E-12,1.46E-11,-3.78E-12
UK,Beam,BT1,COD,11,4.98E-10,4.61E-10,1.39E-10,7.70E-10,2.26E-10
UK,Beam,BT1,HAD,11,1.76E-11,2.57E-11,7.75E-12,3.28E-11,2.42E-12
UK,Beam,BT1,JAX,11,2.43E-15,5.86E-15,1.77E-15,5.89E-15,-1.04E-15
UK,Beam,BT1,MAC,11,6.11E-16,1.29E-15,3.88E-16,1.37E-15,-1.50E-16
UK,Beam,BT1,PLE,11,5.72E-09,1.14E-09,3.42E-10,6.39E-09,5.05E-09
UK,Beam,BT1,POK,11,1.07E-12,1.50E-12,4.51E-13,1.96E-12,1.91E-13
UK,Beam,BT1,SOL,11,2.66E-10,1.63E-10,4.93E-11,3.63E-10,1.69E-10
UK,Beam,BT1,WHG,11,2.01E-11,5.50E-11,1.66E-11,5.26E-11,-1.24E-11
UK,Beam,BT2,COD,11,4.99E-10,3.44E-10,1.04E-10,7.03E-10,2.96E-10
UK,Beam,BT2,HAD,11,9.64E-12,1.42E-11,4.28E-12,1.80E-11,1.25E-12
UK,Beam,BT2,HER,11,1.12E-16,3.09E-16,9.33E-17,2.95E-16,-7.07E-17
UK,Beam,BT2,JAX,11,4.51E-15,5.93E-15,1.79E-15,8.01E-15,1.01E-15
UK,Beam,BT2,MAC,11,5.09E-15,7.90E-15,2.38E-15,9.76E-15,4.23E-16
UK,Beam,BT2,PLE,11,8.17E-09,1.88E-09,5.68E-10,9.29E-09,7.06E-09
UK,Beam,BT2,POK,11,2.58E-13,4.95E-13,1.49E-13,5.50E-13,-3.48E-14
UK,Beam,BT2,SAN,11,1.60E-14,5.31E-14,1.60E-14,4.74E-14,-1.54E-14
UK,Beam,BT2,SOL,11,3.80E-09,1.18E-09,3.56E-10,4.49E-09,3.10E-09
UK,Beam,BT2,WHG,11,2.32E-10,2.95E-10,8.89E-11,4.07E-10,5.83E-11
UK,Industrial,OTTER,COD,11,2.40E-10,2.89E-10,8.72E-11,4.11E-10,6.86E-11
UK,Industrial,OTTER,HAD,11,3.02E-10,4.71E-10,1.42E-10,5.80E-10,2.42E-11
UK,Industrial,OTTER,HER,11,1.21E-09,1.24E-09,3.75E-10,1.95E-09,4.75E-10
UK,Industrial,OTTER,JAX,11,3.78E-11,7.20E-11,2.17E-11,8.03E-11,-4.74E-12
UK,Industrial,OTTER,MAC,11,1.76E-09,2.23E-09,6.71E-10,3.08E-09,4.47E-10
UK,Industrial,OTTER,PLE,11,1.47E-11,2.22E-11,6.69E-12,2.78E-11,1.62E-12
UK,Industrial,OTTER,POK,11,3.37E-11,6.28E-11,1.89E-11,7.08E-11,-3.42E-12
UK,Industrial,OTTER,SAN,11,7.65E-09,7.85E-09,2.37E-09,1.23E-08,3.01E-09
UK,Industrial,OTTER,SOL,11,1.57E-12,1.76E-12,5.30E-13,2.61E-12,5.32E-13
UK,Industrial,OTTER,SPR,11,6.32E-10,1.45E-09,4.38E-10,1.49E-09,-2.26E-10
UK,Industrial,OTTER,WHG,11,1.13E-10,1.32E-10,3.97E-11,1.91E-10,3.52E-11
UK,Industrial,TR3,COD,11,5.83E-10,1.30E-09,3.91E-10,1.35E-09,-1.84E-10
UK,Industrial,TR3,HAD,11,3.00E-10,5.42E-10,1.64E-10,6.20E-10,-2.07E-11
UK,Industrial,TR3,HER,11,7.78E-15,2.58E-14,7.78E-15,2.30E-14,-7.47E-15
UK,Industrial,TR3,PLE,11,1.14E-10,3.45E-10,1.04E-10,3.18E-10,-9.01E-11
UK,Industrial,TR3,POK,11,4.92E-12,1.22E-11,3.69E-12,1.22E-11,-2.32E-12
UK,Industrial,TR3,SOL,11,1.21E-12,2.82E-12,8.52E-13,2.88E-12,-4.55E-13
UK,Industrial,TR3,SPR,11,7.90E-09,1.56E-08,4.71E-09,1.71E-08,-1.33E-09
UK,Industrial,TR3,WHG,11,2.51E-10,5.31E-10,1.60E-10,5.65E-10,-6.21E-11
UK,None,DREDGE,COD,11,6.30E-12,5.97E-12,1.80E-12,9.83E-12,2.77E-12
UK,None,DREDGE,HAD,11,1.23E-11,2.94E-11,8.88E-12,2.97E-11,-5.06E-12
UK,None,DREDGE,MAC,11,4.02E-14,9.68E-14,2.92E-14,9.74E-14,-1.70E-14
UK,None,DREDGE,PLE,11,7.50E-13,4.54E-13,1.37E-13,1.02E-12,4.82E-13
UK,None,DREDGE,POK,11,4.54E-13,9.99E-13,3.01E-13,1.04E-12,-1.37E-13
UK,None,DREDGE,SOL,11,1.00E-12,1.45E-12,4.37E-13,1.86E-12,1.48E-13
UK,None,DREDGE,WHG,11,2.72E-12,6.26E-12,1.89E-12,6.42E-12,-9.80E-13
UK,None,NONE,COD,11,1.06E-10,2.39E-10,7.21E-11,2.48E-10,-3.49E-11
UK,None,NONE,HAD,11,1.36E-11,4.51E-11,1.36E-11,4.03E-11,-1.31E-11
UK,None,NONE,MAC,11,1.05E-14,3.48E-14,1.05E-14,3.10E-14,-1.01E-14
UK,None,NONE,PLE,11,6.89E-14,2.29E-13,6.89E-14,2.04E-13,-6.62E-14
UK,None,NONE,POK,11,4.53E-12,1.50E-11,4.53E-12,1.34E-11,-4.35E-12
UK,None,NONE,WHG,11,1.01E-11,3.34E-11,1.01E-11,2.98E-11,-9.67E-12
UK,None,POTS,COD,11,3.94E-11,3.65E-11,1.10E-11,6.10E-11,1.79E-11
UK,None,POTS,HAD,11,1.18E-12,2.20E-12,6.63E-13,2.48E-12,-1.23E-13
UK,None,POTS,HER,11,9.17E-15,2.30E-14,6.93E-15,2.27E-14,-4.41E-15
UK,None,POTS,JAX,11,7.95E-17,2.39E-16,7.19E-17,2.20E-16,-6.15E-17
UK,None,POTS,MAC,11,1.21E-14,3.28E-14,9.89E-15,3.15E-14,-7.27E-15
UK,None,POTS,PLE,11,5.92E-14,5.98E-14,1.80E-14,9.45E-14,2.39E-14
UK,None,POTS,POK,11,4.35E-13,7.18E-13,2.16E-13,8.59E-13,1.06E-14
UK,None,POTS,SOL,11,1.41E-13,1.79E-13,5.40E-14,2.47E-13,3.49E-14
UK,None,POTS,WHG,11,6.33E-13,1.19E-12,3.60E-13,1.34E-12,-7.13E-14
UK,Otter,DEM_SEINE,COD,11,NA,NA,NA,NA,NA
UK,Otter,DEM_SEINE,HAD,11,NA,NA,NA,NA,NA
UK,Otter,DEM_SEINE,JAX,11,NA,NA,NA,NA,NA
UK,Otter,DEM_SEINE,MAC,11,NA,NA,NA,NA,NA
UK,Otter,DEM_SEINE,PLE,11,NA,NA,NA,NA,NA
UK,Otter,DEM_SEINE,POK,11,NA,NA,NA,NA,NA
UK,Otter,DEM_SEINE,WHG,11,NA,NA,NA,NA,NA
UK,Otter,TR1,COD,11,1.33E-08,1.73E-09,5.22E-10,1.44E-08,1.23E-08
UK,Otter,TR1,HAD,11,1.22E-08,3.73E-09,1.13E-09,1.44E-08,9.98E-09
UK,Otter,TR1,HER,11,6.55E-14,7.97E-14,2.40E-14,1.13E-13,1.84E-14
UK,Otter,TR1,JAX,11,5.19E-13,6.40E-13,1.93E-13,8.97E-13,1.41E-13
UK,Otter,TR1,MAC,11,1.34E-11,2.73E-11,8.22E-12,2.95E-11,-2.77E-12
UK,Otter,TR1,PLE,11,8.31E-10,4.33E-10,1.30E-10,1.09E-09,5.75E-10
UK,Otter,TR1,POK,11,3.08E-09,1.60E-09,4.83E-10,4.03E-09,2.13E-09
UK,Otter,TR1,SOL,11,1.17E-11,3.61E-12,1.09E-12,1.38E-11,9.52E-12
UK,Otter,TR1,SPR,11,1.01E-15,3.33E-15,1.01E-15,2.98E-15,-9.65E-16
UK,Otter,TR1,WHG,11,4.64E-09,1.63E-09,4.90E-10,5.60E-09,3.68E-09
UK,Otter,TR2,COD,11,2.41E-09,9.56E-10,2.88E-10,2.98E-09,1.85E-09
UK,Otter,TR2,HAD,11,3.57E-09,2.00E-09,6.02E-10,4.75E-09,2.39E-09
UK,Otter,TR2,HER,11,1.87E-13,2.60E-13,7.85E-14,3.41E-13,3.30E-14
UK,Otter,TR2,JAX,11,2.31E-13,3.29E-13,9.92E-14,4.25E-13,3.66E-14
UK,Otter,TR2,MAC,11,7.58E-13,1.10E-12,3.33E-13,1.41E-12,1.05E-13
UK,Otter,TR2,PLE,11,6.67E-10,3.12E-10,9.42E-11,8.51E-10,4.82E-10
UK,Otter,TR2,POK,11,1.81E-10,8.51E-11,2.56E-11,2.31E-10,1.30E-10
UK,Otter,TR2,SOL,11,1.84E-10,5.87E-11,1.77E-11,2.19E-10,1.49E-10
UK,Otter,TR2,SPR,11,3.10E-15,1.03E-14,3.10E-15,9.18E-15,-2.98E-15
UK,Otter,TR2,WHG,11,3.63E-09,9.56E-10,2.88E-10,4.19E-09,3.06E-09
