Year,SPR,NOP,SAN,POD,PLA,DAB,HER,HOM,LEM,SOL,MAC,WHG,WIT,GUG,PLE,RJR,HAD,RJN,MON,COD,POK
1932,1.871698852,1.188481982,0.756017894,0.447309037,0.546463815,0.562844312,0.241574881,0.039754381,0.517109712,0.802430264,0.195217842,0.708552832,0.556413224,0.44217741,0.875555421,0.558926024,0.997532214,0.545054353,0.448971894,0.430088421,0.78984413
1933,1.870609403,1.15267771,0.696441283,0.412376362,0.535899904,0.54662948,0.235895714,0.040096302,0.505442936,0.815665607,0.18861068,0.715307424,0.543315367,0.410511307,0.792925375,0.547961312,1.081773199,0.534620499,0.415834832,0.482777252,0.769806221
1934,1.903292519,1.117472945,0.653306602,0.399899914,0.53657527,0.554592499,0.240717924,0.039953436,0.513180261,0.838744768,0.183110798,0.731298745,0.547266213,0.397203293,0.841460349,0.553995765,0.929203316,0.540643512,0.402310662,0.507843382,0.772121862
1935,2.022290039,1.026666115,0.649392437,0.400600962,0.557477385,0.571676003,0.248672873,0.038613122,0.529266449,0.884924703,0.178314407,0.699032604,0.564414274,0.394627373,0.847075221,0.571222929,0.97166177,0.559547198,0.401015078,0.496917554,0.794050345
1936,1.982592609,0.920094102,0.61195197,0.37824582,0.542944399,0.553653154,0.23907743,0.034731798,0.512523513,0.865137173,0.159896985,0.627937701,0.547978087,0.374162352,0.842100855,0.55577424,0.908717043,0.543393425,0.380499366,0.437886666,0.749925085
1937,1.71706393,0.732166254,0.504002487,0.323451273,0.46062437,0.469540802,0.203810322,0.027720438,0.434569357,0.71349547,0.123712009,0.615985608,0.464210275,0.320201915,0.657106875,0.474770265,0.849068241,0.460355559,0.325726117,0.359764255,0.606437376
1938,0.967179812,0.409627202,0.29621412,0.18790658,0.279199945,0.285253294,0.12063756,0.01662901,0.263214976,0.426093076,0.074038391,0.518784974,0.281668631,0.186097113,0.374050222,0.287131817,0.445526678,0.277952116,0.18918368,0.248165444,0.37023494
1939,0.283753318,0.14177228,0.096325996,0.062115322,0.086597173,0.088197891,0.039130949,0.006152493,0.082416488,0.135710265,0.028164935,0.314524104,0.087990874,0.061713579,0.111865959,0.088569547,0.124955334,0.0861894,0.062408581,0.104282949,0.133419146
1940,0.161448954,0.083872976,0.052665105,0.039000415,0.049682457,0.050209205,0.022836999,0.003668209,0.046342284,0.076037209,0.016922317,0.119759694,0.05007421,0.038758093,0.065180668,0.050445177,0.070754871,0.049110965,0.039232607,0.068334323,0.08367151
1941,0.1243969,0.067999362,0.043140414,0.033016698,0.03999704,0.040929818,0.018475039,0.002985359,0.036933221,0.059665509,0.01363072,0.086808291,0.040892071,0.0330003,0.054140784,0.040616662,0.057228307,0.039886639,0.033193841,0.058238501,0.071695958
1942,0.113177447,0.064151259,0.043392425,0.032743442,0.037488433,0.038291431,0.018170931,0.002945131,0.034475777,0.05451061,0.012433695,0.086066478,0.038251641,0.032574918,0.051973275,0.038177912,0.05419562,0.037381263,0.032937817,0.057479517,0.069721792
1943,0.115128956,0.067429819,0.048784827,0.035179172,0.040067731,0.040960712,0.020191933,0.003226629,0.036556248,0.057401916,0.013436783,0.096736259,0.040780943,0.035209571,0.054650005,0.041147512,0.05587009,0.039884953,0.035254228,0.062080104,0.076481981
1944,0.136437376,0.082785803,0.059411681,0.0414601,0.049195043,0.050489479,0.025695756,0.003902247,0.044497263,0.069241576,0.016580754,0.133557078,0.050026402,0.041319882,0.067215521,0.050354173,0.06707352,0.04871516,0.041443179,0.076132354,0.09349465
1945,0.235517049,0.134071357,0.093016005,0.064772624,0.080367045,0.08217694,0.042393466,0.006366566,0.072861857,0.11215289,0.025406284,0.302833269,0.081781427,0.064345048,0.11191542,0.082534831,0.119445591,0.079859396,0.064641921,0.120655663,0.147927391
1946,0.722446598,0.31666916,0.258112058,0.180150931,0.242813833,0.247934112,0.110050087,0.015922978,0.215026635,0.325476049,0.060915236,0.415780888,0.246785755,0.178971398,0.334091728,0.248805447,0.475245061,0.2415867,0.181283559,0.288703928,0.385605404
1947,1.068966173,0.464037311,0.365724675,0.228288109,0.320102738,0.323884567,0.118579967,0.02086517,0.288456021,0.452346367,0.082398423,0.519998733,0.324742051,0.22777041,0.409456171,0.327580353,0.641393438,0.319022545,0.230166534,0.374827294,0.50381426
1948,1.270611463,0.563411194,0.420535586,0.245846134,0.357659586,0.362941695,0.119047552,0.0221817,0.320723042,0.531887192,0.100454297,0.584278781,0.36063425,0.244425337,0.407769739,0.361585177,0.719673885,0.356231327,0.247238541,0.393628905,0.596758164
1949,1.350576413,0.604060599,0.450985076,0.269826351,0.394032272,0.398318148,0.137169072,0.022403062,0.352573236,0.576337611,0.115670255,0.725561284,0.395235134,0.268226185,0.385402431,0.401068132,0.709373483,0.390383505,0.273244516,0.379306244,0.666817657
1950,1.418959216,0.633759887,0.487779104,0.285490043,0.424956629,0.432034833,0.151638042,0.023171485,0.38250792,0.608376685,0.130037674,0.851889635,0.428941465,0.283911117,0.345795747,0.430854939,0.760143584,0.421567414,0.288355874,0.374408395,0.713253365
1951,1.436328227,0.627776962,0.509074614,0.295137659,0.436044763,0.443363425,0.194346209,0.023808083,0.393924032,0.632346655,0.133653978,0.744153103,0.441702856,0.292850018,0.314839114,0.447393744,0.890643013,0.433996523,0.295757813,0.34779703,0.676838549
1952,1.349744637,0.595834893,0.534093554,0.285864249,0.42038678,0.430536956,0.224104277,0.022776485,0.379581041,0.606785139,0.134277422,0.598982594,0.425790494,0.283699851,0.3150175,0.431216987,0.9595948,0.416943968,0.285952364,0.361245918,0.645335047
1953,1.326259013,0.569273986,0.529331619,0.267167416,0.390137714,0.399916371,0.247470668,0.021951582,0.350577394,0.567520274,0.128841322,0.528946261,0.396405852,0.263684903,0.308626251,0.400429363,0.912458168,0.389654071,0.268361811,0.369878251,0.568692328
1954,1.225510604,0.537171655,0.515251045,0.245158266,0.36106763,0.369538819,0.272167328,0.020511041,0.324252222,0.530527133,0.120064142,0.498220012,0.366511386,0.244666999,0.265283181,0.367728431,0.757047227,0.359181419,0.247177316,0.377852765,0.524911377
